rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:40w8JmvwYUP2HUiXPxjy99","Ak4:20, Pailita, Cris Mj","Me Arrepentí","Ak4:20",1,1,4,"4707393"
2,"spotify:track:0OTNHGKcqQbk51bOYe462Y","Polimá Westcoast, Pailita","ULTRA SOLO","Sony Music Entertainment Chile S.A",1,2,10,"3419104"
3,"spotify:track:1O2pcBJGej0pmH2Y9XZMs6","Cris Mj","Una Noche en Medellín","Sonar LLC.",1,3,13,"2767823"
4,"spotify:track:4lLl2TEcaKFcP6m9Xzx3rI","Pailita, Cris Mj, Big Cvyu","Dime Tú","Pailita",4,4,10,"2267750"
5,"spotify:track:0kRJ3rwE3rTDJGnGO4HmoD","El Jordan 23, Standly","Bailando","Los Patos Feos Inc.",3,5,10,"1975701"
6,"spotify:track:2kEuOngY5Td8iGxnzl8vPr","Polimá Westcoast, Young Cister, Cris Mj","SEXTIME","Sony Music Entertainment Chile S.A",6,7,3,"1824299"
7,"spotify:track:48AJSd42lXpicsGqcgopof","Daddy Yankee, Bad Bunny","X ÚLTIMA VEZ","Republic Records",5,6,4,"1726544"
8,"spotify:track:2k7S3I1y0pYfkxeFSgkuBa","Nickoog Clk","En El Jacuzzi","Nickoog CLK under exclusive license to UnitedMasters LLC",8,18,2,"1507917"
9,"spotify:track:2vZS65RIoFXGF4FpWqpMIR","Pailita, El Casti","Par de Veces","Pailita",9,13,3,"1481561"
10,"spotify:track:6mmPpaltUZK7xjNlBPQQ0p","Rauw Alejandro, Chencho Corleone","Desesperados","Sony Music Latin/Duars Entertainment",2,9,19,"1429565"
11,"spotify:track:3E8xyYdIPpiH2wNEozE68I","Standly","Pégate","Standly",1,8,16,"1402221"
12,"spotify:track:4LRPiXqCikLlN15c3yImP7","Harry Styles","As It Was","Columbia",11,11,3,"1363316"
13,"spotify:track:1ri9ZUkBJVFUdgwzCnfcYs","Becky G, KAROL G","MAMIII","Kemosabe Records/RCA Records",2,12,10,"1262350"
14,"spotify:track:1AnJQd8TfkhK6M3VgZDVv1","Cris Mj, Marcianeke, Simon la Letra, Stars Music Chile","Los Malvekes","Virgin Music Chile",1,15,25,"1157092"
15,"spotify:track:1Zjdt705TM2Hr26YDKgnyc","El Jordan 23","Anti Rana","Los Patos Feos Inc.",7,16,13,"1129976"
16,"spotify:track:2gpQi3hbcUAcEG8m2dlgfB","Paulo Londra","Plan A","WEA Latina",3,10,5,"1103337"
17,"spotify:track:6J8lLpZoRCmB5pTrnB5jpV","Standly, El Barto","Mi Gata","Standly",1,19,17,"1054554"
18,"spotify:track:60eTDDWVvw2QKXEeoQ4BjO","Balbi El Chamako, El BAI, Marcianeke, Pailita, Young Cister, Jairo Vera, Harry Nach, Forest, Julianno Sosa, Franco ""El Gorilla"", Cris Mj","Ponle - Remix","Balbi El Chamako",7,14,9,"1051943"
19,"spotify:track:3XjN0mvFkQp1FMVM9Ro5hm","Daddy Yankee","RUMBATÓN","Republic Records",9,17,4,"1036864"
20,"spotify:track:7ccoyhNAr3OY5IQsvpQnck","El Barto, El Jordan 23, Standly, Drakomafia, Yong Bryel","Flaytiando","El Barto Chile",11,21,16,"981035"
21,"spotify:track:0YRgRpM2bdmQEkiI8bWDBA","Standly","Bailemos Reggaeton","Standly",21,23,4,"965931"
22,"spotify:track:4srcMdbm2qzVG98tJajHxp","Alejo, Feid, ROBI","Pantysito","UMLE - Latino",18,20,5,"945418"
23,"spotify:track:1UdzJEpgJxtuXAlCOvD4S0","Danny Ocean","Fuera del mercado","Atlantic Records",22,22,6,"922246"
24,"spotify:track:3y0h34yThCG2qGO4vR0oi5","Cris Mj","Como Te Va","Sonar LLC.",13,24,8,"920615"
25,"spotify:track:3FkeNbs9Zeiqkr3WkbOiGp","Anitta","Envolver","Warner Records",18,25,7,"858343"
26,"spotify:track:0Bv7O6fmZk3GrNQFYJaXPn","La Pantera, Quevedo, Juseph, ABHIR, Bejo, Cruz Cafuné, EL IMA","Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera",9,28,11,"804604"
27,"spotify:track:4gzsuuZypVbxs0Af1LSZyB","Tainy, Bad Bunny, Julieta Venegas","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Neon16",1,26,29,"799608"
