rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5ww2BF9slyYgNOk37BlC4u","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",1,3,17,"2546981"
2,"spotify:track:2pR6bipXfJySBhje19SW02","Stars Music Chile, Cris Mj, Standly","Marisola","Virgin Music Chile",1,2,13,"2449143"
3,"spotify:track:0kTMK4gNFfLXaTb62w1UaJ","Pablito Pesadilla, Polimá Westcoast, Nickoog Clk, Fran C","BABY OTAKU","Pablito Pesadilla",1,1,9,"2433264"
4,"spotify:track:7BFa8ACKFI2vvbn6Su16JY","Pailita, Noriel, El Jordan 23, Pablo Chill-E","Na Na Na - Remix","Pailita",4,-1,1,"2421703"
5,"spotify:track:2tTmW7RDtMQtBk7m2rYeSw","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","DALE PLAY Records",1,4,16,"2071168"
6,"spotify:track:7iwJOi3hlMqZt6pj1sQOBj","Quevedo","VISTA AL MAR","Quevedo",6,6,6,"1746918"
7,"spotify:track:5Eax0qFko2dh7Rl2lYs3bx","Bad Bunny","Efecto","Rimas Entertainment LLC",2,7,24,"1706548"
8,"spotify:track:2RQsLucjZb02cKkz3s8NZ5","Julianno Sosa, Young Cister","GANAS","Sosa Mafia Records",6,8,9,"1654260"
9,"spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx","Bad Bunny, Chencho Corleone","Me Porto Bonito","Rimas Entertainment LLC",1,5,24,"1646423"
10,"spotify:track:2CeKVsFFXG4QzA415QygGb","Feid","Feliz Cumpleaños Ferxxo","UMLE - Latino",10,10,9,"1556778"
11,"spotify:track:79HZAZNnOE97rb2hnI0XQr","Rauw Alejandro, Lyanno, Brray","LOKERA","Sony Music Latin/Duars Entertainment",11,11,12,"1481592"
12,"spotify:track:53tfEupEzQRtVFOeZvk7xq","ROSALÍA","DESPECHÁ","Columbia",7,14,12,"1337251"
13,"spotify:track:2B9tPbnFANp0TTyX1C8tgz","Ak4:20","SE ENDIABLA","Ak4:20",13,13,4,"1333374"
14,"spotify:track:4gWqIR7bGRk9oLoYRgSUKN","Pailita","Parcera","Pailita",14,26,3,"1326990"
15,"spotify:track:6Xom58OOXk2SoU711L2IXO","Bad Bunny","Moscow Mule","Rimas Entertainment LLC",1,9,24,"1302278"
16,"spotify:track:2TDyyEBasw10wu5Uh94bR1","Rauw Alejandro, Baby Rasta","PUNTO 40","Sony Music Latin/Duars Entertainment",16,34,4,"1255872"
17,"spotify:track:3k3NWokhRRkEPhCzPmV8TW","Bad Bunny, Bomba Estéreo","Ojitos Lindos","Rimas Entertainment LLC",1,12,24,"1237805"
18,"spotify:track:5i9bTK3gXeVCvua3PH4nwv","Young Cister","LA TERAPIA","Sony Music Entertainment Chile S.A",2,16,16,"1234889"
19,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",6,15,24,"1185592"
20,"spotify:track:21BoBFBeh49Vrl9DRUsOu8","Nickoog Clk","Salimos Del Tarro","Nickoog CLK under exclusive license to UnitedMasters LLC",20,25,2,"1145373"
21,"spotify:track:6i1g5ZRmJZAkDwBaUZ3f2i","Luar La L","Caile","La Mafia Urbana Corp.",17,20,26,"1114499"
22,"spotify:track:5dqsBNMcoZdZSkdtAKmaQz","Julianno Sosa, Endo, El Jordan 23, Noiss","PERREA KTM","Sosa Mafia Records",5,17,10,"1114012"
23,"spotify:track:6wtZPYBIXUvCpXwVjMCJBf","Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto","ULTRA SOLO REMIX","Sony Music Entertainment Chile S.A",1,18,18,"1089100"
24,"spotify:track:1cZqrdhWL6f3EiY23zpnTe","Pailita, Young Cister","Caminemos de la Mano","Pailita",3,19,10,"1051418"
25,"spotify:track:6TsVhM8qIkWN5cJVDIVbbz","Wisin & Yandel, ROSALÍA","Besos Moja2","Sony Music Latin",25,28,3,"1051074"
26,"spotify:track:4yG3Pgc8McT71M6jwRE9Hf","Standly","Panamera","Standly",17,21,27,"1037832"
27,"spotify:track:31i56LZnwE6uSu3exoHjtB","Bad Bunny","Neverita","Rimas Entertainment LLC",18,22,24,"1011486"
28,"spotify:track:4ovp1Q6WURMBWgw3cOHbxz","El Jordan 23","Bakanisimo","Los Patos Feos Inc.",23,29,4,"1007520"
29,"spotify:track:1ga4PztXOIw1yBbdUt2X8v","KAROL G, Maldy","GATÚBELA","Universal Music Latino",16,23,8,"965242"
30,"spotify:track:1iatbSLJGSR9wYz3knoCF2","Martinwhite, Erreflexx","V16","2022 Martinwhite",9,24,13,"947881"
31,"spotify:track:5jt25aFjW2kNoBqaEVaz5W","Mora, Feid","LA INOCENTE","Rimas Entertainment LLC",28,31,29,"931095"
32,"spotify:track:0pVFw0LHdpjAWI2xwoUXQZ","Jairo Vera, Darkiel, Gino Mella, Best, Bayriton","ADICTO (feat. Best, Bayriton)","WM Chile",32,49,3,"921834"
33,"spotify:track:1AFcJGVt4enuH1gqGw2axN","Polimá Westcoast, J Balvin","KAWAII","Sony Music Entertainment Chile S.A",19,27,4,"894311"
34,"spotify:track:1zsPaEkglFvxjAhrM8yhpr","Ozuna, Feid","Hey Mor","Aura Music Corp.",34,95,2,"884669"
35,"spotify:track:1797zYiX4cKosMH836X9Gt","Bad Bunny, Tony Dize","La Corriente","Rimas Entertainment LLC",11,35,24,"869772"
36,"spotify:track:2KxfFzjyd5mpJu66s66w2S","Standly","Baila para Mi","Standly",36,41,9,"864520"
37,"spotify:track:1O2pcBJGej0pmH2Y9XZMs6","Cris Mj","Una Noche en Medellín","Sonar LLC.",1,30,39,"862276"
38,"spotify:track:0T2pB7P1VdXPhLdQZ488uH","Feid","Normal","UMLE - Latino",22,36,15,"856831"
39,"spotify:track:40w8JmvwYUP2HUiXPxjy99","Ak4:20, Pailita, Cris Mj","Me Arrepentí","Ak4:20",1,32,30,"854521"
40,"spotify:track:0km3c8Qiwi9kicTSTt9Ld1","Cris Mj, El BAI","Pensandote","Farandula Records",29,37,8,"847714"
41,"spotify:track:7dSZ6zGTQx66c2GF91xCrb","KAROL G","PROVENZA","Universal Music Latino",8,33,26,"846432"
42,"spotify:track:5t6IDQJWcduCcFJceo4Dal","JC Reyes, Pablo Chill-E, ECKO","34 Amor y Mafia REMIX","JC Reyes",42,55,2,"831881"
43,"spotify:track:3E8xyYdIPpiH2wNEozE68I","Standly","Pégate","Standly",1,38,42,"820796"
44,"spotify:track:02wijRhOIJdJ8VKM8N9voP","Cris Mj, Fran C","Bellakera","Sonar LLC.",44,48,5,"784528"
45,"spotify:track:0kRJ3rwE3rTDJGnGO4HmoD","El Jordan 23, Standly","Bailando","Los Patos Feos Inc.",3,39,36,"774978"
46,"spotify:track:41oY4WCTj5kccfesTVFnvN","Bad Bunny, JHAYCO","Tarot","Rimas Entertainment LLC",8,40,24,"732661"
