rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6hwGwCfCwHoSJQw7AYPEQu","Jere Klein, Gittobeatz","ANDO","Jere Klein",1,1,9,"2875972"
2,"spotify:track:4uelxH4T8ewn0wwQC5gGLh","Cris Mj","No Ando Weando","Sonar LLC.",2,9,2,"1926909"
3,"spotify:track:5S8zFPQ3KIlF2y9Kt8mRhg","Lucky Brown, Jere Klein, Mateo on the Beatz","¿Cuál Es Su Nombre?","Virgin Music Chile",2,2,10,"1895118"
4,"spotify:track:5RqSsdzTNPX1uzkmlHCFvK","KAROL G, Peso Pluma","QLONA","Bichota/Interscope Records",2,7,15,"1818933"
5,"spotify:track:3nr6dW6yGOd6UX3KOpkbMZ","Jere Klein, Nicki Nicole","X ESO BB","DALE PLAY Records",1,3,15,"1729987"
6,"spotify:track:7spAR93xvPOfkxIeTGbpPf","Katteyes, Kidd Voodoo","Tas Texteandome","WAO Records",5,5,6,"1689301"
7,"spotify:track:7iQXYTyuG13aoeHxGG28Nh","Bad Bunny, Feid","PERRO NEGRO","Rimas Entertainment LLC",2,4,6,"1675931"
8,"spotify:track:6PMapQ7YSxkhAgNOvvoiWs","Sayian Jimmy, Nysix Music, CamiMusic","Bad Boy","sayian jimmy / nysix music",5,6,5,"1569198"
9,"spotify:track:3cDyocF0Ibdfs1SFQk5cLZ","Darell","Lollipop","Sony Music Latin",5,8,8,"1446149"
10,"spotify:track:0NNV0t2jwoLBViOxM6IZHo","Cris Mj","La Noche Está","Sonar LLC.",9,10,10,"1342482"
11,"spotify:track:2kz1YOhJiNubjigR1gB1VX","Rauw Alejandro","DILUVIO","Sony Music Latin/Duars Entertainment",11,14,6,"1241026"
12,"spotify:track:49D0dUFzPxmOWWmn0FoR48","Cris Mj, Yan Block","333","Sonar LLC.",11,11,8,"1191806"
13,"spotify:track:7ABLbnD53cQK00mhcaOUVG","Myke Towers","LALA","WEA Latina",1,16,28,"1185604"
14,"spotify:track:35fSKiaVknkbEBJxvqKuHU","Pablo Chill-E, Pailita","Cora Roto","G*STARR ENT",5,13,16,"1160141"
15,"spotify:track:2vUxVG2aZe293MJQ4GtcVz","Cris Mj","Partyson","Sonar LLC.",12,12,3,"1126855"
16,"spotify:track:6UR1k5NGqgNGzgVmMtT768","El Jordan 23, Los Patos Feos Inc, Nes","Cabaña","Los Patos Feos Inc under exclusive license to BZR Music LLC",3,15,22,"1108185"
17,"spotify:track:6XbtvPmIpyCbjuT0e8cQtp","Quevedo","Columbia","Quevedo",2,19,20,"1093146"
18,"spotify:track:3tiJUOfAEqIrLFRQgGgdoY","Big One, FMK, Ke Personajes","Un Finde | CROSSOVER #2","Fifty One",2,18,33,"1084011"
19,"spotify:track:3MBzcfMRsUvA97JDiB7zN0","Gino Mella, Jairo Vera, Best","EL AMOR DE TU VIDA","WM Chile",1,17,23,"1077357"
20,"spotify:track:7q9Sq1jrDgmyEAaWXKhqtg","Jairo Vera, Gino Mella, King Savagge, Chiko Alfa, Bayriton, Malito Malozo, Paolo Pimp","JARABE (feat. Chiko Alfa, Bayriton, Malito Malozo & Paolo Pimp)","WM Chile",11,20,11,"1037037"
21,"spotify:track:505v13epFXodT9fVAJ6h8k","KAROL G","AMARGURA","Universal Music Latino",10,32,39,"1003718"
22,"spotify:track:54zcJnb3tp9c5OVKREZ1Is","KAROL G","MI EX TENÍA RAZÓN","Bichota/Interscope Records",6,35,15,"968049"
23,"spotify:track:12aUF72LN9UNtaqxH1ydLZ","Julianno Sosa, Guelo Star","TRANQUILA","Sosa Mafia Records",12,22,12,"941286"
24,"spotify:track:2kvpHbQHp9QmcG9WhyLwco","Cris Mj","Daytona","Sonar LLC.",24,34,2,"929892"
25,"spotify:track:68fkJE1oYWKIrMcMy8O0sO","Lucky Brown, Adan La Amenaza","Privado","Virgin Music Chile",23,23,10,"918128"
26,"spotify:track:6gMj2DzKR2PjrrbNSwcGFR","Anuel AA, Quevedo, Maluma, Mambo Kingz, DJ Luian","OA","Hear This Music",26,26,6,"900715"
27,"spotify:track:6XSqqQIy7Lm7SnwxS4NrGx","Feid, Young Miko","CLASSY 101","UMLE - Latino",2,24,34,"899914"
28,"spotify:track:2HafqoJbgXdtjwCOvNEF14","iñigo quintero","Si No Estás","Acqustic",15,21,8,"891876"
29,"spotify:track:4aEOz6ZpXh3wF4FOdJHOPV","Wolfine, Ñejo","Escápate Conmigo - Remix","LOMIORECORDS",14,27,30,"881246"
30,"spotify:track:4bw8mcDUSRWfQo63ZTYRnU","Maluma, Carin Leon","Según Quién","Sony Music Latin",22,25,11,"862593"
31,"spotify:track:42wzqKYpAInONWmT0FtiIj","Nickoog Clk, Jere Klein","XQ TAN SOLA?","Nickoog CLK under exclusive license to UnitedMasters LLC",1,29,33,"833802"
32,"spotify:track:11PV8CaPqlto9Uejx92C35","Grupo Frontera, Ke Personajes","OJITOS ROJOS","Grupo Frontera",13,31,18,"831258"
33,"spotify:track:3BjIQyc3DOAdrn7QVNh4yx","Ak4:20, Gino Mella","ANDA SOLITA","Ak4:20",14,33,14,"821464"
34,"spotify:track:2wjzgkfw4MqYOtPAnREHoL","YSY A, Jere Klein, ONIRIA","24/7 6.5","Ysy A",34,87,2,"810415"
35,"spotify:track:5ixdmTpCmH5diBA1j154wN","Bad Bunny","UN PREVIEW","Rimas Entertainment LLC",6,28,9,"805392"
36,"spotify:track:0DWdj2oZMBFSzRsi2Cvfzf","KAROL G, Shakira","TQG","Universal Music Latino",1,50,39,"792082"
37,"spotify:track:4ZTYnXDN5xBl9yazQ9HpIZ","Gino Mella, Ak4:20, Best","SOLO RESPIRA","WM Chile",26,37,5,"755035"
38,"spotify:track:7FwUyEny91YMSWGPyi99dG","Lleflight, Ak4:20, Drakomafia, King Savagge, Best","TROMPETAS (feat. King Savagge & Best)","WM Chile",38,42,2,"737074"
39,"spotify:track:6aiFYVWZZVVckJEfvdmiu8","Pailita, Fran C","Venga Pa' Acá","Pailita",3,39,32,"734539"
40,"spotify:track:4MjDJD8cW7iVeWInc2Bdyj","Bad Bunny","MONACO","Rimas Entertainment LLC",4,30,6,"731023"
41,"spotify:track:0J9g1MMJDhyvOb3NWckHMm","Bad Gyal, Tokischa, Young Miko","Chulo pt.2","Universal Music Latino/Interscope",7,40,22,"712958"
42,"spotify:track:0bS0fLAHqIdaiYYLBiWUw3","Nickoog Clk, Gittobeatz","Somos Diferentes","Nickoog CLK under exclusive license to UnitedMasters LLC",41,41,4,"699695"
43,"spotify:track:0GJwUAlBMJTbY4VE7iE761","KAROL G, Cris Mj, Ryan Castro","UNA NOCHE EN MEDELLÍN - REMIX","Bichota/Interscope Records",4,44,15,"684675"
44,"spotify:track:3KZCP2StVGdWkOKyRZNWA4","Plan B","Es un Secreto","Pina Records",44,46,90,"667063"
45,"spotify:track:4SW9gHnW8NfKOdqmh0ij45","Bizarrap, Milo j","Fruto","DALE PLAY Records",8,36,7,"653437"
46,"spotify:track:6irysuQyZWd7Bjj7ePiOs2","JHAYCO","Holanda","N&E Entertainment LLC",9,45,17,"640498"
47,"spotify:track:5FWeCb2GK2vGopDenX0dVh","Jere Klein","Una en un Millón","Jere Klein",1,43,27,"639019"
48,"spotify:track:4gJfPoMIcSDGY0tMGxm6Fu","KAROL G","OKI DOKI","Bichota/Interscope Records",34,62,15,"619247"
49,"spotify:track:3HqcNJdZ2seoGxhn0wVNDK","KAROL G","PROVENZA","Universal Music Latino",8,65,83,"582247"
50,"spotify:track:4NoOME4Dhf4xgxbHDT7VGe","KAROL G, Romeo Santos","X SI VOLVEMOS","Universal Music Latino",2,68,42,"563665"
51,"spotify:track:1iLbUmb2b2btyAAcQ68a1p","Bizarrap, Milo j","Milo J: Bzrp Music Sessions, Vol. 57","DALE PLAY Records",5,47,8,"558248"
52,"spotify:track:7wGy7XfvDC7PRNtMQkHVuN","Jere Klein, Lucky Brown","Mandame Tu Ubi","Jere Klein",6,53,51,"546764"
53,"spotify:track:3tt9i3Hhzq84dPS8H7iSiJ","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",1,57,74,"533271"
54,"spotify:track:3nNmRE0DxHC6ZaKkrpUumS","Bad Bunny, Young Miko","FINA","Rimas Entertainment LLC",8,48,6,"531749"
55,"spotify:track:4VUCD7MJpEsPG71MJDXBdD","Il Nene De Oro","Fetty","1.7 Money Boyz",55,80,3,"527262"
56,"spotify:track:0QlLclyUHQs859oPptz6qh","Cris Mj, Luar La L","Mia Na' Mas","Sonar LLC.",38,38,2,"521793"
57,"spotify:track:7MVIfkyzuUmQ716j8U7yGR","Milo j, Taiu","Rara Vez","Universal Music Argentina S.A.",18,51,40,"519985"
58,"spotify:track:0BFQC00Y58JtjMyTXOJazO","KAROL G","S91","Bichota/Interscope Records",10,92,19,"509407"
59,"spotify:track:16uLbwxv5QmVjueCO0mG50","Gino Mella","+ Q LA XUXA","WM Chile",11,61,26,"506984"
60,"spotify:track:0rKjSZGak5unyPhqt3bCPz","Jairo Vera, Abraham Wayne","Se Preparó","WM Chile",59,59,4,"493378"
61,"spotify:track:25OeKzcqakFPaJlXHPE5lm","Carin Leon","Primera Cita","Socios Music, LLC",41,60,19,"485737"
62,"spotify:track:7D3Be8tkPLMzWKohmi63hb","Lucky Brown, Gino Mella, Valdi","Me Veo Rico","Virgin Music Chile",3,64,26,"484641"
63,"spotify:track:6otePxalBK8AVa20xhZYVQ","KAROL G","MIENTRAS ME CURO DEL CORA","Universal Music Latino",7,103,39,"484380"
64,"spotify:track:2ItA7kOg5NH6AygzU30sEv","Tony Dize, Plan B","Solos (feat. Plan B)","Pina Records",50,56,34,"483001"
65,"spotify:track:2VfBDjJ0tZ9XUi24aQibTM","Lleflight, Gino Mella, Best","VÁMONOS PA LA EUROPA","WM Chile",14,70,18,"481276"
66,"spotify:track:1AX4aybSRyXHWrjg27wTFE","Ke Personajes, Onda Sabanera","Pobre Corazón - En Vivo","Ke Personajes",22,67,33,"473016"
67,"spotify:track:2CeKVsFFXG4QzA415QygGb","Feid","Feliz Cumpleaños Ferxxo","UMLE - Latino",7,66,66,"450814"
68,"spotify:track:5eBVwJIJQY5amfYluJ8FF0","El Jordan 23","En 4","Los Patos Feos Inc under exclusive license to BZR Music LLC",58,58,4,"450362"
69,"spotify:track:2yzshFeBIwH8tWIqHEFLeD","Grupo Frontera, Bad Bunny","un x100to","Grupo Frontera",1,69,32,"446986"
70,"spotify:track:5jt25aFjW2kNoBqaEVaz5W","Mora, Feid","LA INOCENTE","Rimas Entertainment LLC",28,72,86,"444340"
71,"spotify:track:3lWcPFXacmDo3piquzSshF","Gino Mella, Jairo Vera, Brytiago, Best","Mi polola <3 (feat. Best)","WM Chile",16,76,13,"441198"
72,"spotify:track:2l58pc9aJRjkoj5RcesCJF","El Jordan 23","BELLAKITA","Los Patos Feos Inc, distribuido por BZR Music LLC.",7,71,31,"440476"
73,"spotify:track:7yIIeKUxTpn36X6CFJhgEi","Bellakath, Dani Flow","Reggaeton Champagne","La Mafia del Perreo",73,78,6,"439305"
74,"spotify:track:0QEA14qLh7Cox2uBBzTgao","Jere Klein","Ya No Pienso en Ti","Jere Klein",10,81,42,"434738"
75,"spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx","Bad Bunny, Chencho Corleone","Me Porto Bonito","Rimas Entertainment LLC",1,79,81,"434621"
76,"spotify:track:4IJWhehNLXru5WfS71EWSx","Cris Mj, Dei V","Diabólica","Sonar LLC.",52,52,2,"429095"
77,"spotify:track:491iU8VnDmhSX9aza8emOc","Pailita, Marcianeke","Bikini","Pailita",48,55,3,"426449"
78,"spotify:track:4g79mlIRCMtOvi1ZJVpq3t","ITHAN NY, Jere Klein","Millonarios Juntos","Sonido Hit",6,63,28,"423789"
79,"spotify:track:2UW7JaomAMuX9pZrjVpHAU","Yng Lvcas, Peso Pluma","La Bebe - Remix","WM Mexico",5,77,35,"422944"
80,"spotify:track:1j6xOGusnyXq3l6IryKF3G","Piso 21, Manuel Turizo","Déjala Que Vuelva (feat. Manuel Turizo)","WM Mexico",2,109,106,"411474"
81,"spotify:track:1zsPaEkglFvxjAhrM8yhpr","Ozuna, Feid","Hey Mor","Aura Music Corp.",1,93,59,"411393"
82,"spotify:track:4WiQA1AGWHFvaxBU6bHghs","Quevedo","PUNTO G","Quevedo",13,89,55,"409452"
83,"spotify:track:3LzAFrnO7CxaeBgtQhHsAP","Brray, Anuel AA, Chencho Corleone, JHAYCO, Ryan Castro","Corazón Roto pt. 3","UMLE - Latino",45,82,11,"405807"
84,"spotify:track:2KslE17cAJNHTsI2MI0jb2","Jung Kook","Standing Next to You","BIGHIT MUSIC",50,73,3,"397643"
85,"spotify:track:1Hs1uUl8o2VtDp1DABFq0O","LIT killah, Tiago PZK, Maria Becerra, Duki, Emilia, Rusherking, Big One, FMK","Los del Espacio","WEA Latina",3,91,25,"395879"
86,"spotify:track:6Es8Sk3xe1HiJ2MXCfHHwR","Emilia, TINI","La_Original.mp3","Sony Music Latin",62,85,3,"395450"
87,"spotify:track:6jRZ33ifS5VOTMwmPxhPhN","Luck Ra, La K'onga, Ke Personajes","Ya No Vuelvas (Versión Cuarteto)","Sony Music Entertainment Chile S.A",44,96,33,"394380"
88,"spotify:track:2tTmW7RDtMQtBk7m2rYeSw","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","DALE PLAY Records",1,101,73,"393481"
89,"spotify:track:7FlQk2gJ6TBrHHiidvdR2O","Becky G, KAROL G","MAMIII","Kemosabe Records/RCA Records/Sony Music Latin",2,147,93,"390286"
90,"spotify:track:2hn2zOA2XFlv6DSmesylrL","Ryan Castro, Peso Pluma, SOG","QUEMA","Sony Music Latin",55,114,19,"390155"
91,"spotify:track:1kavadKZM6Ah01m1rFCU0o","Piero 47, King Fly","Amiri Jeans","Forty-Seven Gang",19,115,28,"390051"
92,"spotify:track:0T2pB7P1VdXPhLdQZ488uH","Feid","Normal","UMLE - Latino",21,97,72,"380220"
93,"spotify:track:6VsqdsaY4oV06NODea0L0J","Becky G, Ángela Aguilar, Leonardo Aguilar","POR EL CONTRARIO (with Angela Aguilar & Leonardo Aguilar)","Kemosabe Records/RCA Records/Sony Music Latin",89,100,5,"379459"
94,"spotify:track:3qQbCzHBycnDpGskqOWY0E","Eslabon Armado, Peso Pluma","Ella Baila Sola","DEL Records",1,99,34,"378941"
95,"spotify:track:1LiN0Z98FkR1t0m8KmLcAH","Anuel AA, Haze","Amanece","House of Haze",2,117,132,"376720"
96,"spotify:track:3BTYZkMCqYWLqrxfub1NmE","Kidd Voodoo, Easykid","Mal Mal Mal","Kidd Voodoo",96,102,7,"375874"
97,"spotify:track:6q6aChVJ5LLXFUSfakwpxW","Maria Becerra, Chencho Corleone, Ovy On The Drums","Piscina","WEA Latina",97,120,2,"375449"
98,"spotify:track:6HT88WDVwEJiHEbPuQ5XcB","Damas Gratis, Ke Personajes","Costumbres - Vivo","Pelo Music S.A.",47,106,32,"374428"
99,"spotify:track:7f6PquSCnTPMb1AbBu92oI","FloyyMenor","pa la europa","FloyyMenor under exclusive license to UnitedMasters LLC",15,94,37,"374188"
100,"spotify:track:7DhYjNLksXZhbRQeheAums","Bacilos","Caraluna","WEA Latina",100,108,26,"372352"
101,"spotify:track:2B9tPbnFANp0TTyX1C8tgz","Ak4:20","SE ENDIABLA","Ak4:20",13,122,36,"369983"
102,"spotify:track:5CLzTL3KI3xb1SbjE8lNWO","Feid, Young Cister, Pailita","el único tema del ferxxo","UMLE - Latino",21,90,8,"366346"
103,"spotify:track:3EcAFLtP7inJoo7l5YGxwG","Pailita","Distinta","Pailita",76,98,6,"365292"
104,"spotify:track:3E8xyYdIPpiH2wNEozE68I","Standly","Pégate","Standly",1,118,95,"365110"
105,"spotify:track:2oUQzfbM29kn5cknX57gzB","Cris Mj","Ando Buscando","Sonar LLC.",22,49,14,"364606"
106,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",14,95,19,"363976"
107,"spotify:track:6uIIdjYTxxpWOyWuVXrKQO","Calle 24, Chino Pacas, Fuerza Regida","Que Onda","Street Mob Records",107,128,5,"362790"
108,"spotify:track:1DmPVoJJgSAMHEMamRV4DH","Jairo Vera","PA K TE ENAMORE","WM Chile",25,124,49,"361007"
109,"spotify:track:2ZV9wvj6gu8C0oB16aD0vR","Jere Klein, Fran C","Donde?","Jere Klein",3,107,38,"359738"
110,"spotify:track:50tfayMP8ZnSiV1sPM48qD","Cris Mj","Ponte Bonita","Sonar LLC.",75,75,2,"359613"
111,"spotify:track:3oNnzH6hmqIGIhJ1NcHlrh","Maria Becerra","CORAZÓN VACÍO","WEA Latina",16,112,22,"357893"
112,"spotify:track:4iGQ8o9Ih6J1OuDDGCXSCL","KAROL G, Young Miko","DISPO","Bichota/Interscope Records",22,166,15,"353742"
114,"spotify:track:2nwa6nS5lXnsvwX48RWkbS","Santaferia, Grupo Zúmbale Primo","Que Te Vaya Bien","Huracán Producciones",37,129,51,"353675"
115,"spotify:track:6URNgz911jj10KXTFtevcS","Plan B","Por Que Te Demoras?","Pina Records",75,126,55,"351370"
116,"spotify:track:5Eax0qFko2dh7Rl2lYs3bx","Bad Bunny","Efecto","Rimas Entertainment LLC",2,125,81,"346698"
117,"spotify:track:40w8JmvwYUP2HUiXPxjy99","Ak4:20, Pailita, Cris Mj","Me Arrepentí","Ak4:20",1,132,87,"346433"
118,"spotify:track:4QJF76nruk2vvuCzGDCqsL","Don Omar, Wisin, Yandel","SANDUNGA","UNISONO, LLC",83,84,3,"346404"
119,"spotify:track:3k3NWokhRRkEPhCzPmV8TW","Bad Bunny, Bomba Estéreo","Ojitos Lindos","Rimas Entertainment LLC",1,137,81,"342201"
120,"spotify:track:2WfaOiMkCvy7F5fcp2zZ8L","a-ha","Take on Me","Rhino",120,131,24,"342132"
121,"spotify:track:6YNzvCsLwAJ4xZjdK9qk3r","Jairo Vera, Nickoog Clk, Gino Mella, Balbi El Chamako, Bayron Fire, Bayriton, Tommy Boysen, Gringuitos Records, El Rey","Te Extraño a Lo Vio (feat. Balbi El Chamako, Bayron Fire, Bayriton, Tommy Boysen, Gringuitos Records, El Rey) - Remix","WM Chile",7,145,41,"341706"
122,"spotify:track:6fGv8gVguSvWq7q7JrHBbY","Cris Mj, Pablo Chill-E","Mala","Sonar LLC.",54,54,2,"339969"
