rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6WatFBLVB0x077xWeoVc2k","KAROL G","Si Antes Te Hubiera Conocido","Bichota/Interscope Records",1,2,8,"2156701"
2,"spotify:track:42wdz3j7gstgUuhoFLCXqd","FloyyMenor","PELIGROSA","FloyyMenor under exclusive license to UnitedMasters LLC",1,1,5,"2124975"
3,"spotify:track:5Uptvz6j1sjDKxidAcnH2L","Cris Mj","SI NO ES CONTIGO","Sonar LLC.",1,3,12,"1947097"
4,"spotify:track:2TsQ2eMg44sEqvbLwjzWrA","Lucky Brown, Mateo on the Beatz","Sola Suelta Soltera","Lucky Brown",4,7,3,"1869244"
5,"spotify:track:21hsqOOUfdSjHi3SVz8oyv","Cris Mj","No Ponga Excusas","Sonar LLC.",1,4,8,"1860755"
6,"spotify:track:2SuosMcETUjDfBRobLLTQm","Jere Klein, Mateo on the Beatz, EL MURCIELAGO","CHIKA MALA","Jere Klein",6,-1,1,"1773213"
7,"spotify:track:2II1TSrlhRrtz2hmzpXROT","Fran C, Jere Klein","Mi Automóvil","WM Chile",4,6,7,"1711429"
8,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",8,8,4,"1457929"
9,"spotify:track:0ZS96pPRLyGUViVi5PWCAR","FloyyMenor, Lewis Somes","APAGA EL CEL","FloyyMenor under exclusive license to UnitedMasters LLC",2,5,13,"1439109"
10,"spotify:track:2btNsI4OvcVl7SAHQQDHFB","Blessd, Ovy On The Drums","Mírame","WEA Latina",5,11,13,"1387536"
11,"spotify:track:1pymWRCuZfCd0zdiBJo0Hj","Trueno","REAL GANGSTA LOVE","Sony Music Latin",2,10,12,"1302521"
12,"spotify:track:3yLoXi85lSf04T3hL1EJI4","Jere Klein, Lucky Brown, Adan La Amenaza","MUJER FINA","2024 JERE KLEIN",3,13,11,"1280111"
13,"spotify:track:2esZG2XFtuoWWA9AfDvSxy","FloyyMenor, Cris Mj","Gata Only","FloyyMenor under exclusive license to UnitedMasters LLC",1,9,28,"1241531"
14,"spotify:track:0qd7ACCc9z2mlTYgPRcnUJ","Bryant Myers, Cris Mj","Tuss","La Familia LF",12,12,5,"1189359"
15,"spotify:track:1fTjqf10accJCDYstPwwZ6","Kapo","Ohnana","Sony Music Latin/La Industria",15,16,6,"1110947"
16,"spotify:track:7jE7CQhkmGW8ENmPRpVHXb","Kidd Voodoo, La Joaqui, Dysbit","Instinto","Kidd Voodoo",8,14,6,"1098879"
17,"spotify:track:604IC2o3T3bxPu6C7Pimd7","Nes, Cris Mj","QUE LE DE","Sony Music Entertainment Chile S.A",17,17,3,"1096565"
18,"spotify:track:7bywjHOc0wSjGGbj04XbVi","Feid, ATL Jacob","LUNA","UMLE - Latino",3,15,37,"1053082"
19,"spotify:track:4mnpgUTLYMs3XFpqTWxVyA","Pablo Chill-E, Bryartz","Gitana (feat. Bryartz)","G STARR ENT",1,18,20,"952285"
20,"spotify:track:2kvpHbQHp9QmcG9WhyLwco","Cris Mj","Daytona","Sonar LLC.",2,19,40,"939680"
21,"spotify:track:6kPCcIAGoTeRrh8qrmKa90","Tiago PZK, Ke Personajes","Piel","WEA Latina",11,20,28,"932326"
22,"spotify:track:7eTTWunsR2Z1z5plDYKk6C","Almighty","Solida","La Funda Music",22,22,9,"914531"
23,"spotify:track:2mjomuPkuvJvmm4oxESQXn","Jere Klein, Axl Boore, EL MURCIELAGO","REELS","2024 JERE KLEIN",12,24,11,"898269"
24,"spotify:track:3KZCP2StVGdWkOKyRZNWA4","Plan B","Es un Secreto","Pina Records",23,26,128,"894625"
25,"spotify:track:4Br7zuCL1Jetik8COatafL","Kidd Voodoo, DrefQuila, Young Cister, Easykid, Swift 047, LOS 4F","Enrolar - Fantastic Four Remix","Kidd Voodoo",2,23,18,"886308"
26,"spotify:track:4IJWhehNLXru5WfS71EWSx","Cris Mj, Dei V","Diabólica","Sonar LLC.",10,25,40,"859183"
27,"spotify:track:55eG1F2xukyOGAkaNAG4MQ","Lucky Brown, Nes","Avísame","Lucky Brown",6,21,15,"850606"
28,"spotify:track:6a9Z1jUms915w4O7N1PxjY","Rvssian, Rauw Alejandro, Ayra Starr","Santa","Sony Music Latin",7,27,18,"848586"
29,"spotify:track:505v13epFXodT9fVAJ6h8k","KAROL G","AMARGURA","Universal Music Latino",10,29,77,"817979"
30,"spotify:track:3tt9i3Hhzq84dPS8H7iSiJ","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",1,30,112,"805722"
31,"spotify:track:1emJPywtseFLmLCcPY92dW","Dei V, Cris Mj","Rapido (with Cris Mj)","Encore Recordings",18,33,9,"801557"
32,"spotify:track:3A6idnsMX8VwWWzD7GTnBr","eleven1.1, DrefQuila, Kidd Voodoo, Harry Nach, SOULFIA","Escarlata - Remix","Eleven",10,28,25,"795138"
